Overview	نمای کلی	عمومي کتنه	نظرة عامة
Your next big idea deserves a home.	ایده بزرگ شما شایسته یک خانه است.	ستاسو لوی فکر د کور وړ دی.	فكرتك الكبيرة تستحق موطناً.
Recently edited	تازه ویرایش‌شده	تازه سم شوی	عُدّل مؤخراً
Ready to explore	آماده بازدید	کتلو ته چمتو	جاهز للاستكشاف
All changes saved	همه تغییرات ذخیره شد	ټول بدلونونه خوندي شول	حُفظت جميع التغييرات
Unsaved changes	تغییرات ذخیره‌نشده	ناخوندي بدلونونه	تغييرات غير محفوظة
Saving…	در حال ذخیره…	خوندي کېږي…	جارٍ الحفظ…
Changes saved.	تغییرات ذخیره شد.	بدلونونه خوندي شول.	تم حفظ التغييرات.
Website settings saved.	تنظیمات وب‌سایت ذخیره شد.	د وېبپاڼې امستنې خوندي شوې.	تم حفظ إعدادات الموقع.
Page deleted.	صفحه حذف شد.	پاڼه ړنګه شوه.	تم حذف الصفحة.
Make it yours	مطابق سلیقه خود بسازید	خپل یې کړئ	اجعله خاصاً بك
A foundation for your brand	پایه‌ای برای برند شما	ستاسو د نښې بنسټ	أساس لعلامتك التجارية
Four distinct personalities. Infinite possibilities.	چهار سبک متفاوت؛ امکانات بی‌پایان.	څلور بېلابېلې بڼې؛ بې‌شمېره امکانات.	أربعة أنماط وإمكانات بلا حدود.
A palette with personality	رنگ‌هایی با هویت	هویت لرونکي رنګونه	ألوان ذات شخصية
Changes preview instantly. Save to apply them to your published website.	تغییرات فوراً پیش‌نمایش می‌شوند. برای اعمال در وب‌سایت زنده ذخیره کنید.	بدلونونه سملاسي ښکاري. په ژوندۍ وېبپاڼه کې د پلي کولو لپاره خوندي کړئ.	تظهر التغييرات فوراً. احفظ لتطبيقها على الموقع المنشور.
Find your voice	سبک خود را بیابید	خپل غږ ومومئ	اعثر على أسلوبك
Body size ·	اندازه متن ·	د متن اندازه ·	حجم النص ·
Line height ·	ارتفاع خط ·	د کرښې لوړوالی ·	ارتفاع السطر ·
Corner radius ·	گردی گوشه ·	د کونج ګردوالی ·	استدارة الزوايا ·
Container width ·	عرض محتوا ·	د منځپانګې پلنوالی ·	عرض المحتوى ·
Section spacing ·	فاصله بخش‌ها ·	د برخو واټن ·	تباعد الأقسام ·
The art of	هنر	د هنر	فن
being different.	متفاوت‌بودن.	توپیر لرل.	الاختلاف.
One consistent font system, from navigation to footer. Native script fallbacks support Dari, Pashto, and Arabic.	خط هماهنگ از ناوبری تا پاصفحه، با پشتیبانی از دری، پشتو و عربی.	له لارښوده تر لاندې برخې یو شان لیکبڼه، د دري، پښتو او عربي په ملاتړ.	خط متناسق من التنقل إلى التذييل يدعم الدارية والبشتوية والعربية.
A little breathing room	کمی فضای بیشتر	لږ پراخ ځای	مساحة إضافية
Content adapts automatically to desktop, tablet, and mobile screens.	محتوا خودکار با کمپیوتر، تبلت و موبایل سازگار می‌شود.	منځپانګه له کمپیوټر، ټابلیټ او موبایل سره سمون خوري.	يتكيف المحتوى تلقائياً مع الحاسوب واللوح والهاتف.
Your saved looks	ظاهرهای ذخیره‌شده شما	ستاسو خوندي بڼې	مظاهرك المحفوظة
Load a preset to preview it. Save appearance to activate. Save again with a new name to duplicate a look.	ظاهر ذخیره‌شده را پیش‌نمایش کنید و برای فعال‌سازی ذخیره کنید. برای نسخه تازه، نام دیگری بدهید.	خوندي بڼه وګورئ او د فعالولو لپاره یې خوندي کړئ. د کاپي لپاره نوی نوم ورکړئ.	حمّل مظهراً للمعاينة واحفظ لتفعيله. احفظ باسم جديد لنسخه.
Save your first custom look below.	نخستین ظاهر سفارشی را در زیر ذخیره کنید.	لاندې خپله لومړۍ ځانګړې بڼه خوندي کړئ.	احفظ مظهرك المخصص الأول أدناه.
Save current look as preset	ذخیره ظاهر فعلی به‌عنوان پیش‌تنظیم	اوسنۍ بڼه د چمتو بڼې په توګه خوندي کول	حفظ المظهر الحالي كإعداد مسبق
LIVE PREVIEW	پیش‌نمایش زنده	ژوندۍ مخکتنه	معاينة مباشرة
Changes aren’t saved yet	تغییرات هنوز ذخیره نشده	بدلونونه لا خوندي نه دي	لم تُحفظ التغييرات بعد
Our story	داستان ما	زموږ کیسه	قصتنا
Contact	تماس	اړیکه	اتصل بنا
A clear way around.	مسیری روشن برای بازدیدکنندگان.	د لیدونکو لپاره روښانه لار.	طريق واضح للتنقل.
Add your first link for this language and location.	نخستین پیوند این زبان و موقعیت را اضافه کنید.	د دې ژبې او ځای لومړی تړونی زیات کړئ.	أضف أول رابط لهذه اللغة والموضع.
Navigation that grows with you.	ناوبری همراه با رشد شما.	ستاسو سره وده کوونکی لارښود.	تنقل ينمو معك.
Drag links to reorder. Use each link’s menu to add children, indent, move up a level, or open in a new tab. Up to three levels and 100 links are supported.	پیوندها را بکشید و مرتب کنید. از فهرست هر پیوند برای زیرپیوند و جابه‌جایی استفاده کنید. حداکثر سه سطح و ۱۰۰ پیوند.	تړوني کش کړئ او ترتیب یې کړئ. د هر تړوني غورنۍ د فرعي تړونو او خوځولو لپاره وکاروئ. تر درې کچو او ۱۰۰ تړونو پورې.	اسحب الروابط لترتيبها واستخدم قائمتها لإضافة فروع ونقلها. حتى ثلاثة مستويات و١٠٠ رابط.
Each language has its own menu. Mobile navigation falls back to that language’s header menu when no mobile menu exists.	هر زبان فهرست خود را دارد. در نبود فهرست موبایل، فهرست سرصفحه همان زبان استفاده می‌شود.	هره ژبه خپله غورنۍ لري. که د موبایل غورنۍ نه وي، د هماغې ژبې سرلیک کارېږي.	لكل لغة قائمتها. عند غياب قائمة الهاتف تُستخدم قائمة ترويسة اللغة نفسها.
Export or copy unsaved links before reloading.	پیش از بارگذاری دوباره، پیوندهای ذخیره‌نشده را کپی کنید.	له بیا پورته کولو مخکې ناخوندي تړوني کاپي کړئ.	انسخ الروابط غير المحفوظة قبل إعادة التحميل.
Opens in a new tab	در زبانه جدید باز می‌شود	په نوې پاڼه کې پرانیستل کېږي	يفتح في تبويب جديد
Indent under previous link	زیر پیوند قبلی قرار دهید	د مخکیني تړوني لاندې کړئ	ضعه تحت الرابط السابق
Move up one level	یک سطح بالاتر	یوه کچه پورته	انقل مستوى للأعلى
A little trip back in time.	نگاهی به نسخه‌های گذشته.	پخوانیو نسخو ته کتنه.	نظرة إلى النسخ السابقة.
Restore a previous version as a draft. Your current version will be preserved.	نسخه قبلی را به‌صورت پیش‌نویس بازیابی کنید. نسخه فعلی حفظ می‌شود.	پخوانۍ نسخه د مسودې په توګه راولئ. اوسنۍ نسخه ساتل کېږي.	استعد نسخة سابقة كمسودة مع الاحتفاظ بالحالية.
Your first revision appears after you save a change.	نخستین نسخه پس از ذخیره تغییر ایجاد می‌شود.	لومړۍ نسخه د بدلون له خوندي کولو وروسته ښکاري.	تظهر أول نسخة بعد حفظ تغيير.
Loading your working copy…	در حال بارگذاری نسخه کاری…	کاري کاپي پورته کېږي…	جارٍ تحميل نسخة العمل…
This page or working copy changed in another session. Autosave is paused.	این صفحه در نشست دیگری تغییر کرده است. ذخیره خودکار متوقف شد.	دا پاڼه په بله ناسته کې بدله شوې. اتومات خوندي کول درېدلي دي.	تغيرت الصفحة في جلسة أخرى. توقف الحفظ التلقائي.
Current working copy	نسخه کاری فعلی	اوسنۍ کاري کاپي	نسخة العمل الحالية
A private working copy from	نسخه کاری خصوصی از	شخصي کاري کاپي له	نسخة عمل خاصة من
is available.	موجود است.	شته.	متاحة.
Choose a future time in your browser timezone. Scheduling a published page takes it offline until this time.	زمان آینده را به وقت مرورگر انتخاب کنید. صفحه منتشرشده تا آن زمان از دسترس خارج می‌شود.	د لټونګر په وخت کې راتلونکی وخت وټاکئ. خپره پاڼه تر هغه وخته بندېږي.	اختر وقتاً مستقبلياً بتوقيت المتصفح. تُحجب الصفحة المنشورة حتى ذلك الوقت.
Publish at the right moment.	در زمان مناسب منتشر کنید.	په سم وخت یې خپور کړئ.	انشر في الوقت المناسب.
A blank page. A new possibility.	صفحه‌ای خالی، فرصتی تازه.	تشې پاڼې، نوی فرصت.	صفحة فارغة وفرصة جديدة.
Add content with the visual page builder.	با صفحه‌ساز دیداری محتوا اضافه کنید.	د لیدیز پاڼه جوړوونکي له لارې منځپانګه زیاته کړئ.	أضف المحتوى بمنشئ الصفحات المرئي.
Save a page, section or block to build your library.	صفحه، بخش یا بلوک را در کتابخانه خود ذخیره کنید.	پاڼه، برخه یا بلاک په خپل کتابتون کې خوندي کړئ.	احفظ صفحة أو قسماً أو كتلة في مكتبتك.
Save any page as a template from the visual builder. Reuse the layout without changing the original.	صفحه را از صفحه‌ساز به‌عنوان قالب ذخیره و بدون تغییر اصل دوباره استفاده کنید.	پاڼه د جوړوونکي له لارې قالب کړئ او د اصلي نسخې له بدلولو پرته یې وکاروئ.	احفظ الصفحة كنموذج وأعد استخدام التخطيط دون تغيير الأصل.
Content is saved independently for each language.	محتوا برای هر زبان جداگانه ذخیره می‌شود.	د هرې ژبې منځپانګه جلا خوندي کېږي.	يُحفظ المحتوى مستقلاً لكل لغة.
Export	برون‌بری	صادرول	تصدير
Reload	بارگذاری دوباره	بیا پورته کول	إعادة التحميل
Show all	نمایش همه	ټول ښودل	عرض الكل
Grid	شبکه	جال	شبكة
List	فهرست	لړلیک	قائمة
Blocks	بلوک‌ها	بلاکونه	الكتل
Results	نتایج	پایلې	النتائج
Hidden	پنهان	پټ	مخفي
Details	جزئیات	جزیات	التفاصيل
Block	بلوک	بلاک	كتلة
Section	بخش	برخه	قسم
Item	مورد	توکی	عنصر
Preset	ظاهر ذخیره‌شده	خوندي بڼه	إعداد مسبق
File	فایل	دوتنه	ملف
Logo	نشان	نښان	شعار
Role	نقش	رول	دور
Membership	عضویت	غړیتوب	عضوية
Link and children	پیوند و زیرپیوندها	تړونی او فرعي تړوني	الرابط وفروعه
Empty folder	پوشه خالی	تشه پوښۍ	مجلد فارغ
Restricted workspace area	دسترسی به این بخش محدود است	دې برخې ته لاسرسی محدود دی	هذه المنطقة مقيدة
Website type	نوع وب‌سایت	د وېبپاڼې ډول	نوع الموقع
Agency	آژانس	اژانس	وكالة
University	دانشگاه	پوهنتون	جامعة
E-commerce	تجارت الکترونیک	برېښنايي سوداګري	تجارة إلكترونية
Blog	وبلاگ	بلاګ	مدونة
Business	کسب‌وکار	سوداګري	أعمال
Portfolio	نمونه‌کار	د کار بېلګې	معرض أعمال
Step	مرحله	پړاو	خطوة
Hero	بخش اصلی	اصلي برخه	القسم الرئيسي
Text	متن	متن	نص
Image + Text	تصویر و متن	انځور او متن	صورة ونص
Video	ویدیو	ویډیو	فيديو
Gallery	گالری	ګالري	معرض
Slider	اسلایدها	سلایډونه	شرائح
Banner	بنر	بینر	لافتة
Cards	کارت‌ها	کارتونه	بطاقات
Services	خدمات	خدمتونه	خدمات
Features	ویژگی‌ها	ځانګړنې	ميزات
Testimonials	نظر مشتریان	د مشتریانو نظرونه	آراء العملاء
Statistics	آمار	شمېرې	إحصاءات
Pricing	قیمت‌گذاری	بیې	الأسعار
FAQ	پرسش‌های متداول	عامې پوښتنې	أسئلة شائعة
CTA	دعوت به اقدام	د عمل بلنه	دعوة لاتخاذ إجراء
Newsletter	خبرنامه	خبرپاڼه	نشرة بريدية
Logos	نشان‌ها	نښانونه	شعارات
Events	رویدادها	پېښې	فعاليات
Announcements	اطلاعیه‌ها	خبرتیاوې	إعلانات
Social Media	شبکه‌های اجتماعی	ټولنیزې رسنۍ	وسائل التواصل
Columns	ستون‌ها	ستنې	أعمدة
px	پیکسل	پکسل	بكسل
KB	کیلوبایت	کیلوبایټ	كيلوبايت
AM	اِی‌اِم	اې‌اېم	إيه إم
About	درباره	په اړه	حول
Acme workspace	فضای کاری اکمی	د اکمي کاري ځای	مساحة عمل أكمي
accounts	حساب‌ها	حسابونه	حسابات
assets	رسانه‌ها	رسنۍ	وسائط
blocks	بلوک‌ها	بلاکونه	كتل
of 5	از ۵	له ۵ څخه	من ٥
template ·	قالب ·	قالب ·	نموذج ·
thoughtfully arranged blocks	بلوک‌های مرتب‌شده با دقت	په پاملرنې ترتیب شوي بلاکونه	كتل مرتبة بعناية
browse your computer	از کمپیوتر انتخاب کنید	له کمپیوټر څخه وټاکئ	تصفح جهازك
Drag & drop files, or	فایل‌ها را بکشید و رها کنید، یا	دوتنې راکش او پرېږدئ، یا	اسحب الملفات وأفلتها، أو
Drop a little inspiration here	فایل‌های خود را اینجا رها کنید	خپلې دوتنې دلته پرېږدئ	أفلت ملفاتك هنا
Images, video, PDF, and Office documents · Up to 20 MB per file	تصویر، ویدیو، پی‌دی‌اف و اسناد آفیس · حداکثر ۲۰ مگابایت	انځور، ویډیو، پي ډي اېف او دفتري اسناد · تر ۲۰ مېګابایټو	صور وفيديو وملفات PDF وأوفيس · حتى ٢٠ ميغابايت للملف
No assets found. Upload a file or choose another filter.	رسانه‌ای یافت نشد. فایل بارگذاری کنید یا فیلتر را تغییر دهید.	رسنۍ ونه موندل شوې. دوتنه پورته یا چاڼ بدل کړئ.	لم تُعثر على وسائط. ارفع ملفاً أو غيّر المرشح.
JPG / PNG / WEBP · No original files are overwritten	JPG / PNG / WEBP · فایل اصلی تغییر نمی‌کند	JPG / PNG / WEBP · اصلي دوتنه نه بدلېږي	JPG / PNG / WEBP · لا تُستبدل الملفات الأصلية
Original:	اصل:	اصلي:	الأصل:
Output:	خروجی:	پایله:	الناتج:
px · Maximum 4 MP and 4096 px per edge	پیکسل · حداکثر ۴ مگاپیکسل و ۴۰۹۶ پیکسل در هر ضلع	پکسل · تر ۴ مېګاپکسلو او په هر اړخ ۴۰۹۶ پکسلو پورې	بكسل · أقصى حد ٤ ميغابكسل و٤٠٩٦ بكسل لكل ضلع
px. All edits are saved as a new media item.	پیکسل. ویرایش‌ها به‌عنوان فایل جدید ذخیره می‌شوند.	پکسل. سمونونه د نوې دوتنې په توګه خوندي کېږي.	بكسل. تُحفظ التعديلات كملف جديد.
Crop height ·	ارتفاع برش ·	د پرېکولو لوړوالی ·	ارتفاع القص ·
Crop width ·	عرض برش ·	د پرېکولو پلنوالی ·	عرض القص ·
Horizontal position ·	موقعیت افقی ·	افقي ځای ·	الموضع الأفقي ·
Vertical position ·	موقعیت عمودی ·	عمودي ځای ·	الموضع العمودي ·
Rename / move folder	تغییر نام یا انتقال پوشه	د پوښۍ نوم بدلول یا خوځول	إعادة تسمية المجلد أو نقله
Add new blocks to	افزودن بلوک جدید به	نوي بلاکونه ورزیات کړئ	إضافة كتل جديدة إلى
Remove empty last column	حذف آخرین ستون خالی	وروستۍ تشه ستنه ړنګول	إزالة العمود الأخير الفارغ
Price display (e.g. USD 29/month)	نمایش قیمت (مثلاً ۲۹ دالر در ماه)	د بیې ښودل (لکه په میاشت ۲۹ ډالره)	عرض السعر (مثلاً ٢٩ دولاراً شهرياً)
Last updated	آخرین به‌روزرسانی	وروستی تازه کول	آخر تحديث
Built-in roles are protected. Create a custom role to tailor access.	نقش‌های اصلی محافظت‌شده‌اند. برای دسترسی دلخواه نقش تازه بسازید.	اصلي رولونه خوندي دي. د ځانګړي لاسرسي لپاره نوی رول جوړ کړئ.	الأدوار المدمجة محمية. أنشئ دوراً مخصصاً لتعديل الوصول.
Control workspace accounts and grant each website the team it needs.	حساب‌ها و تیم هر وب‌سایت را مدیریت کنید.	حسابونه او د هرې وېبپاڼې ډله اداره کړئ.	أدر الحسابات وفريق كل موقع.
Local demonstration records only. Account sign-in, password enforcement and permission isolation must be verified against Laravel; the preview session always uses the demo administrator.	این‌ها رکوردهای آزمایشی‌اند. ورود و مجوزها باید در لاراول آزمایش شوند. پیش‌نمایش همیشه مدیر آزمایشی است.	دا ازمایښتي ثبتونه دي. ننوتل او اجازې باید په لاراول کې وازمویل شي. مخکتنه تل ازمایښتي مدیر کاروي.	هذه سجلات تجريبية. يجب اختبار الدخول والصلاحيات في لارافيل. المعاينة تستخدم المدير التجريبي دائماً.
Use each website’s Team tab to assign memberships.	عضویت‌ها را در زبانه تیم هر وب‌سایت تنظیم کنید.	غړیتوبونه د هرې وېبپاڼې د ډلې په برخه کې وټاکئ.	عيّن العضويات في تبويب فريق كل موقع.
Suspension immediately blocks access in Laravel. At least one active Super Admin must remain.	تعلیق فوراً دسترسی را در لاراول مسدود می‌کند. حداقل یک مدیر کل فعال باید بماند.	ځنډول په لاراول کې سملاسي لاسرسی بندوي. لږ تر لږه یو فعال عمومي مدیر باید پاتې شي.	التعليق يمنع الوصول فوراً في لارافيل. يجب بقاء مدير عام نشط واحد على الأقل.
Read access is always included. These capabilities are enforced by the Laravel API.	دسترسی خواندن همیشه شامل است. مجوزها در API لاراول اعمال می‌شوند.	د لوستلو لاسرسی تل شامل دی. اجازې د لاراول API پلي کوي.	صلاحية القراءة مضمّنة دائماً. تُفرض الصلاحيات عبر لارافيل.
People with access to this website. Workspace Super Admins have access to every website.	افراد دارای دسترسی به این وب‌سایت. مدیران کل به همه وب‌سایت‌ها دسترسی دارند.	دې وېبپاڼې ته لاسرسی لرونکي کسان. عمومي مدیران ټولو وېبپاڼو ته لاسرسی لري.	الأشخاص المسموح لهم بهذا الموقع. المديرون العامون يصلون لجميع المواقع.
No direct memberships yet. Add an existing account to your team.	هنوز عضوی نیست. یک حساب موجود را به تیم اضافه کنید.	تر اوسه غړی نشته. موجود حساب ډلې ته زیات کړئ.	لا توجد عضويات بعد. أضف حساباً موجوداً إلى الفريق.
Add an existing active account by email. A workspace Super Admin can create accounts in Users & roles.	حساب فعال موجود را با ایمیل اضافه کنید. مدیر کل می‌تواند در بخش کاربران حساب بسازد.	شته فعال حساب د برېښنالیک له لارې زیات کړئ. عمومي مدیر په کارنانو کې حساب جوړولی شي.	أضف حساباً نشطاً بالبريد. يستطيع المدير العام إنشاء حسابات في المستخدمين والأدوار.
These components are rendered from shared settings, never copied into individual pages.	این اجزا از تنظیمات مشترک نمایش داده می‌شوند و در صفحه‌ها کپی نمی‌شوند.	دا برخې له ګډو امستنو ښودل کېږي، په پاڼو کې نه کاپي کېږي.	تُعرض المكونات من إعدادات مشتركة ولا تُنسخ إلى الصفحات.
Show on every page	نمایش در همه صفحه‌ها	په ټولو پاڼو کې ښودل	عرض في كل الصفحات
Translate text in Languages using keys such as	متن را در بخش زبان‌ها با کلیدهایی مانند ترجمه کنید	متن په ژبو کې په دې ډول کیلیو وژباړئ	ترجم النص في اللغات بمفاتيح مثل
, or	، یا	، یا	، أو
. Matching translations replace only that field on the public website.	. ترجمه مطابق فقط همان فیلد را در وب‌سایت عمومی عوض می‌کند.	. ورته ژباړه یوازې هماغه ډګر په عامه وېبپاڼه کې بدلوي.	. تستبدل الترجمة المطابقة ذلك الحقل فقط في الموقع العام.
Create a page or change your search filters.	صفحه بسازید یا فیلتر جستجو را تغییر دهید.	پاڼه جوړه کړئ یا د لټون چاڼ بدل کړئ.	أنشئ صفحة أو غيّر مرشحات البحث.
Published websites expose their published pages. Draft websites stay private.	صفحه‌های منتشرشده وب‌سایت عمومی‌اند. وب‌سایت پیش‌نویس خصوصی می‌ماند.	خپرې وېبپاڼې خپلې خپرې پاڼې ښيي. مسودې شخصي پاتې کېږي.	تعرض المواقع المنشورة صفحاتها المنشورة. تبقى المسودات خاصة.
Saved changes apply immediately.	تغییرات ذخیره‌شده فوراً اعمال می‌شوند.	خوندي بدلونونه سملاسي پلي کېږي.	تُطبق التغييرات المحفوظة فوراً.
Use “Create translation” in a page’s menu to create and edit a separate language version. Shared component text can be translated with keys such as components.Header.title or components.Footer.text.	از «ایجاد ترجمه» در فهرست صفحه برای نسخه زبانی جدا استفاده کنید. متن اجزای مشترک را با کلیدهای components.Header.title و components.Footer.text ترجمه کنید.	د پاڼې په غورنۍ کې «ژباړه جوړول» د جلا ژبې لپاره وکاروئ. ګډې برخې د components.Header.title او components.Footer.text په کیلیو وژباړئ.	استخدم «إنشاء ترجمة» لنسخة لغوية مستقلة. ترجم المكونات بمفاتيح مثل components.Header.title وcomponents.Footer.text.
Rates are managed manually and are relative to	نرخ‌ها دستی و نسبت به این ارز تعیین می‌شوند:	نرخونه په لاس د دې اسعارو پر بنسټ ټاکل کېږي:	تُدار الأسعار يدوياً نسبةً إلى
. Store orders use the website base currency. Exchange rates are for display only.	. سفارش‌ها با ارز پایه وب‌سایت‌اند. نرخ تبدیل فقط برای نمایش است.	. سپارښتنې د وېبپاڼې په اصلي اسعارو دي. نرخونه یوازې د ښودلو لپاره دي.	. الطلبات بعملة الموقع الأساسية. أسعار الصرف للعرض فقط.
Choose the closest fit. Every type includes the full core toolkit.	نزدیک‌ترین نوع را انتخاب کنید. همه انواع ابزارهای اصلی را دارند.	تر ټولو نږدې ډول وټاکئ. ټول ډولونه اصلي وسیلې لري.	اختر النوع الأقرب. جميع الأنواع تتضمن الأدوات الأساسية.
A full theme, appearance settings, and starter page are included from day one.	پوسته، تنظیمات ظاهر و صفحه آغازین از روز نخست آماده‌اند.	پوښ، د بڼې امستنې او لومړۍ پاڼه له پیل څخه چمتو دي.	قالب وإعدادات مظهر وصفحة بداية جاهزة من اليوم الأول.
You can change all of this later.	بعداً می‌توانید همه را تغییر دهید.	دا ټول وروسته بدلولی شئ.	يمكنك تغيير كل ذلك لاحقاً.
Your domain is a configuration value. Pointing a custom domain to this installation requires DNS and web-server setup.	دامنه یک مقدار تنظیماتی است. اتصال دامنه سفارشی به تنظیم DNS و وب‌سرور نیاز دارد.	ډومېن یو تنظیمي ارزښت دی. د ځانګړي ډومېن تړل د DNS او سرور امستنو ته اړتیا لري.	النطاق قيمة إعداد. ربط نطاق مخصص يتطلب إعداد DNS وخادم الويب.
English, Dari, Pashto, and Arabic are included automatically, with RTL layouts.	انگلیسی، دری، پشتو و عربی با چیدمان راست‌به‌چپ آماده‌اند.	انګلیسي، دري، پښتو او عربي له ښي نه کیڼ بڼو سره شاملې دي.	الإنجليزية والدارية والبشتوية والعربية مضمّنة مع تخطيطات من اليمين.
Set your base currency. Manual exchange rates can be configured in your website.	ارز پایه را تعیین کنید. نرخ‌های دستی در وب‌سایت قابل تنظیم‌اند.	اصلي اسعار وټاکئ. لاسي نرخونه په وېبپاڼه کې تنظیمېږي.	حدد العملة الأساسية. يمكن ضبط أسعار الصرف اليدوية في الموقع.
All seven currencies are enabled. Exchange rates start at 1 and must be configured before using financial content.	هر هفت ارز فعال‌اند. نرخ‌ها از ۱ آغاز می‌شوند و پیش از استفاده مالی باید تنظیم شوند.	ټول اووه اسعار فعال دي. نرخونه له ۱ پیلېږي او د مالي کارونې مخکې باید وټاکل شي.	العملات السبع مفعلة. تبدأ الأسعار من ١ ويجب ضبطها قبل الاستخدام المالي.
Ready to create: theme, header, footer, navigation, visual builder, starter template, media library, 4 languages, currencies, and SEO settings.	آماده ساخت: پوسته، سرصفحه، پاصفحه، ناوبری، صفحه‌ساز، قالب، رسانه، چهار زبان، ارز و تنظیمات جستجو.	جوړولو ته چمتو: پوښ، سرلیک، لاندې برخه، لارښود، جوړوونکی، قالب، رسنۍ، څلور ژبې، اسعار او د لټون امستنې.	جاهز للإنشاء: قالب وترويسة وتذييل وتنقل ومنشئ ونماذج ووسائط وأربع لغات وعملات وإعدادات بحث.
Page	صفحه	پاڼه	صفحة
Custom role	نقش سفارشی	ځانګړی رول	دور مخصص
Protected role	نقش محافظت‌شده	خوندي رول	دور محمي
Optional new password	رمز جدید (برای حفظ رمز خالی بگذارید)	نوی پټنوم (د ساتلو لپاره تش پرېږدئ)	كلمة مرور جديدة (اتركها فارغة للإبقاء)
Video URL	نشانی ویدیو	د ویډیو پته	رابط الفيديو
Suspended	تعلیق‌شده	ځنډول شوی	موقوف
Left to right	چپ به راست	له کیڼ نه ښي	من اليسار لليمين
Right to left	راست به چپ	له ښي نه کیڼ	من اليمين لليسار
Open in new tab	بازکردن در زبانه جدید	په نوي ټب کې پرانیستل	فتح في تبويب جديد
Open in same tab	بازکردن در همین زبانه	په همدې ټب کې پرانیستل	فتح في التبويب نفسه
Full access within this role’s scope.	دسترسی کامل در محدوده این نقش.	د دې رول په چوکاټ کې بشپړ لاسرسی.	وصول كامل ضمن نطاق هذا الدور.
Add a name and domain without https:// to continue.	برای ادامه نام و دامنه را بدون https:// وارد کنید.	د دوام لپاره نوم او ډومېن له https:// پرته ولیکئ.	أدخل اسماً ونطاقاً دون https:// للمتابعة.
Choose a target language: en, fa, ps, or ar.	زبان مقصد را انتخاب کنید: en، fa، ps یا ar.	موخه ژبه وټاکئ: en، fa، ps یا ar.	اختر اللغة المستهدفة: en أو fa أو ps أو ar.
Choose en, fa, ps, or ar.	یکی از en، fa، ps یا ar را انتخاب کنید.	en، fa، ps یا ar وټاکئ.	اختر en أو fa أو ps أو ar.
Create an independent translation	ایجاد ترجمه مستقل	خپلواکه ژباړه جوړول	إنشاء ترجمة مستقلة
Independent draft created. Edit the text in the target language.	پیش‌نویس مستقل ساخته شد. متن را به زبان مقصد ویرایش کنید.	خپلواکه مسوده جوړه شوه. متن په موخه ژبه سم کړئ.	أُنشئت مسودة مستقلة. حرر النص باللغة المستهدفة.
Account saved. Assign website memberships to grant access to content.	حساب ذخیره شد. برای دسترسی به محتوا عضویت وب‌سایت را تعیین کنید.	حساب خوندي شو. منځپانګې ته د لاسرسي لپاره غړیتوب ورکړئ.	حُفظ الحساب. عيّن عضويات الموقع للوصول إلى المحتوى.
Draft saved privately. Your live page has not changed.	پیش‌نویس خصوصی ذخیره شد. صفحه زنده تغییر نکرده است.	مسوده په شخصي ډول خوندي شوه. ژوندۍ پاڼه نه ده بدله شوې.	حُفظت المسودة بشكل خاص. لم تتغير الصفحة المنشورة.
Edited copy saved. The original image is unchanged.	نسخه ویرایش‌شده ذخیره شد. تصویر اصلی تغییر نکرد.	سمه شوې کاپي خوندي شوه. اصلي انځور نه دی بدل شوی.	حُفظت النسخة المعدلة دون تغيير الأصل.
Global component saved. All public pages use the new version.	جزء سراسری ذخیره شد. همه صفحه‌های عمومی نسخه جدید را استفاده می‌کنند.	ګډه برخه خوندي شوه. ټولې عامې پاڼې نوې نسخه کاروي.	حُفظ المكون العام. تستخدم جميع الصفحات النسخة الجديدة.
Layouts support at most six levels.	چیدمان حداکثر شش سطح دارد.	جوړښت تر شپږو کچو پورې دی.	يدعم التخطيط ستة مستويات كحد أقصى.
Pages support up to 100 blocks.	هر صفحه حداکثر ۱۰۰ بلوک دارد.	هره پاڼه تر ۱۰۰ بلاکونو پورې لري.	تدعم الصفحة حتى ١٠٠ كتلة.
Leave the builder?	از صفحه‌ساز خارج شوید؟	له جوړوونکي ووځئ؟	مغادرة المنشئ؟
Some local changes are not saved. You can export a copy before leaving.	بعضی تغییرات ذخیره نشده‌اند. پیش از خروج می‌توانید نسخه بگیرید.	ځینې بدلونونه خوندي نه دي. له وتلو مخکې کاپي صادرولی شئ.	بعض التغييرات غير محفوظة. يمكنك تصدير نسخة قبل المغادرة.
Discard unsaved navigation changes?	تغییرات ذخیره‌نشده ناوبری حذف شوند؟	د لارښود ناخوندي بدلونونه پرېښودل شي؟	تجاهل تغييرات التنقل غير المحفوظة؟
Save this menu first if you want to keep your edits.	برای حفظ تغییرات، نخست فهرست را ذخیره کنید.	د بدلونونو د ساتلو لپاره لومړی غورنۍ خوندي کړئ.	احفظ القائمة أولاً للاحتفاظ بتعديلاتك.
Only empty folders can be deleted. Move their files and subfolders first.	فقط پوشه خالی حذف می‌شود. ابتدا فایل‌ها و زیرپوشه‌ها را انتقال دهید.	یوازې تشې پوښۍ ړنګېږي. لومړی دوتنې او فرعي پوښۍ وخوځوئ.	يمكن حذف المجلدات الفارغة فقط. انقل الملفات والمجلدات الفرعية أولاً.
